property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
גג/ פנטהאוז,כרם התימנים,עזרא הסופר 15,3.0,6,100,,0,12,,,6,"ללא תיווך ישירות מהבעלים ברחוב עזרא הסופר 15 דירת פנטהאוז כיפית בבניין בוטיק. דירה יחידה בקומה, 3 חדרים, משקיפה לים 360 של נוף פתוח. 2 מרפסות שמש ומרפסת שירות. מטבח יפה ונוח. ויש גם חניה בבניין. הדירה נמצאת ברחוב שקט ובמרחק מספר צעדים מחוף הים, ליד שוק הכרמל התוסס, כרם התימנים, סמטאות יפו העתיקה, שוק הפשפשים ונווה צדק עם כל המסעדות ובתי הקפה המדליקים. יש קודן בכניסה לבניין",0,0,1,1,0,0,0,1,0,0,12000.0,10,1752.0
דירת גן,כרם התימנים,"האר""י 28",4.0,1,146,45,,12,400,450,4,"גאולה/כרם התימנים, דירת דופלקס מסוגננת ומעוצבת. סה""כ 146 מ""ר.
קומה עליונה: שני חדרי שינה + ממ""ד + 2 מקלחות + 1 שירותים.
קומה תחתונה:  חדר שינה/עבודה + מקלחת/שירותים.
דק מגודר מקדימה (20 מ""ר) + חצר אחורית פרטית פתוחה (25 מ""ר). 
קרוב לים, קרוב לאיזורי קניות ובילויים",1,0,1,1,0,0,1,1,0,0,17000.0,10,1692.0
גג/ פנטהאוז,כרם התימנים,כרם התימנים 6,4.0,3,125,,,6,400,450,3,"דירת דופלקס יוקרתית עם מרפסת שמש ענקית תריסים חשמליים דוד שמש   נוף חלקי לים שקטה 4.5 חדרים כולל ממד מאסטר להורים עם מקלחת ובנוסף חדר מקלחת נוסף 
מעלית במיקום הכי טוב בכרם התימנים 
ועד בית 450 שקל ו ארנונה 400 
חניה מקורה בתוספת תשלום של 1000 שקל
מתווכים לא להתקשר הודעות בוואטפ בלבד אני תושב חוץ תודה",1,0,1,1,0,0,1,1,1,1,15000.0,0,1754.0
דירה,כפיר,הרב אלנקווה 16,3.0,5,70,,0,12,500,150,7,דירה שקטה ומקסימה באזור מרכזי במצב טוב.,1,0,1,1,0,1,0,0,0,0,4500.0,4,5486.0
דירה,כפיר,הרב אלנקווה 16,3.5,7,72,,0,12,450,150,7,"דירה בת 3 חדרים פלוס חצי חדר עבודה פלוס מרפסת כביסה וחדר רחצה. משופצת במלואה, חשמל חדש, אינסטלציה חדשה, מטבח מחודש, חדר רחצה מחודש, חלונות, סורגים, מזגן בכל חדר. דירה יפה. נוף לתל אביב. גישה נוחה לנתיבי תחבורה ציבוריים ולתחבורה פרטית. גישה נוחה למרכזים מסחריים. נוף יפה. דירה שקטה. לא בשבת.",0,0,0,0,0,0,0,1,0,0,5300.0,10,5486.0
דירה,תל כביר,דקל 10,3.0,1,50,,0,12,200,50,4,"שלושה חדרים, קומה ראשונה, מסודרת, שופצה לאחרונה.",0,0,0,1,0,1,0,0,1,1,4500.0,0,6538.0
דירה,כרם התימנים,גאולה 12,3.0,3,87,10,,12,225,200,3,"דירה מעוצבת אדריכלית ומושקעת מאוד. חימום תת רצפתי, חימום מים על גז 24/7. ארונות קיר בחדרים, מזגני אלקטרה מיני מרכזיים ומאווררי תקרה של סטאר. יש אפשרות לריהוט מלא/חלקי.",1,0,0,1,0,0,0,1,1,1,13800.0,0,1524.0
דירה,כרם התימנים,הכובשים 12,4.0,5,100,14,0,12,800,400,7,דירה מקסימה מס דקות מחוף הים באיזור  הכי חם ליד כרם התימנים דירה מהחברה לניהול הנכס תיווך,0,0,0,0,0,0,0,1,0,0,17500.0,0,1475.0
דירה,כרם התימנים,אלשיך,4.0,1,145,,,12,,750,3,"להשכרה בבניין בוטיק חדש ומודרני.
דירה מרשימה במיוחד עם חללים גדולים ו3 כיווני אוויר.
מיקום מעולה בלב השכונה,נוף פתוח,שקט והמון אופי",1,0,1,1,1,0,1,1,1,1,20000.0,0,1862.0
דירה,כרם התימנים,הירקון 6,3.0,2,60,,0,12,450,200,5,"ברחוב הירקון, מול מלון הילטון
מיקום מעולה 
דירת גג משופצת הדירה בקומה הרביעית (ללא מעלית), בגודל של כ-60 מ""ר.
וכוללת מרפסת גג מפוארת עם נוף לים. הדירה מוארת ויפה.
עם חיבור למכונת כביסה ואפשרות לתו חניה.
מתאימה לשני שותפים.
כניסה ב-1/8.
ישנה אפשרות לרכישת ריהוט קיים.",0,0,0,1,0,0,0,1,0,1,8500.0,0,1933.0
כללי,כרם התימנים,הרב קוק 2,1.0,0,9,,0,12,,,0,השכרה של חניה פרטית מקורה  במגדל מגורים יוקרתי בקו הראשון לים בתל אביב למשך תקופה ארוכה. חניון בקומה מינוס 1- כניסה עם שלט בלבד. מוגן במצלמות אבטחה 24/7 בפיקוח שומר. ללא תיווך,1,0,0,0,0,0,0,0,0,0,1200.0,0,1647.0
דירה,כרם התימנים,גאולה 34,3.0,1,67,,0,12,300,200,4,"מפרטי וללא תיווך !!!! נכס נדיר במיקום מעולה במרכז ת""א עם מעלית וחניה !!!!, עורפי ושקט במרכז העניינים! שתי דקות הליכה מהים, משוק הכרמל ומכל מה שיש לעיר להציע. דירה משופצת עם מטבח חדש, חדר שירותים ומקלחת חדש, 2 חדרי שינה וסלון. להשכרה מיידית לרציניים ומביני עניין!",1,0,1,1,0,1,0,0,0,1,8900.0,0,1568.0
דו משפחתי,כרם התימנים,כנפי נשרים 10,2.0,0,50,50,,12,350,,0,"להשכרה באזור מבוקש בכרם התימנים 5 דקות מהים , מיקום מעולה, בית דו משפחתי 2 חדרים מרווחים כ - 50 מ""ר תקרות גבוהות. חדר מאסטר כ 18 מ""ר + סלון מרווח ופתוח עם מטבח + חצר + מחסן של 50 מ""ר שטח כולל 100 מ""ר",0,0,0,0,0,0,0,1,0,0,9900.0,0,1852.0
דירה,כרם התימנים,הירקון 6,3.0,2,70,,0,12,350,300,4,"רחוב: הירקון השקט.

מרכז תל אביב \ הליכה להילטון

דירה של  3 חדרים,כ - 70  מטר משופצת מקסימה איוכתית ויפה.

סלון עם פינת אוכל

חדרים שינה עם מזגנים

מוארת

הליכה לחוף הים.

קומה: ב' ללא מעלית.

מתימה לזוג \ שותפים

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,7500.0,0,1933.0
דירה,תל כביר,ארבר מנחם 4,5.0,8,116,,0,12,780,435,16,"דירה של  5 חדרים,כ - 116 מטר, עם נוף פתוח לכל השכונה.
יציאה למרפסת שמש גדולה של 11 מטר
חדרים שינה עם מזגנים
מטבח פתוח לסלון + פינת אוכל.
אמבטיה ושורתים צמודים.
מזגן מרכזי כריים ותנור ומקלחונים.
יח' הורים
בניין חדש.
מזגן מרכזי כריים ותנור ומקלחונים.
יש ממק קומתי ענק, יש מחסן.
חניה פרטית תת ק""ק,ומעלית.
כניסה מידית.",1,0,1,1,0,0,1,1,0,1,8000.0,0,5933.0
דירה,תל כביר,מנחם ארבר 6,6.0,9,145,,0,12,750,500,10,"שכונת: תל כביר
דירה של 6  חדרים,כ - 145 מטר, עם נוף פתוח לכל השכונה.
יציאה למרפסת שמש גדולה של 22 מטר
חדרים שינה עם מזגנים
מטבח פתוח לסלון + פינת אוכל.
אמבטיה ושורתים צמודים.
יח' הורים
בניין חדש.
יש ממק קומתי ענק, יש מחסן.
חניה פרטית תת ק""ק,ומעלית.
כניסה מידית.",1,0,1,1,0,0,1,1,0,1,8500.0,0,6013.0
דירה,תל כביר,.מנחם ארבר 9,5.0,13,116,,0,12,500,300,14,"דירה של  5 חדרים,כ - 116 מטר, עם נוף פתוח לכל השכונה.
יציאה למרפסת שמש גדולה של 11 מטר
חדרים שינה עם מזגנים
מטבח פתוח לסלון + פינת אוכל.
אמבטיה ושורתים צמודים.
מזגן מרכזי כריים ותנור ומקלחונים.
יח' הורים
בניין חדש.
מזגן מרכזי כריים ותנור ומקלחונים.
יש ממק קומתי ענק, יש מחסן.
חניה פרטית תת ק""ק,ומעלית.
כניסה מידית.",1,0,1,1,0,0,1,1,0,1,8000.0,0,6027.0
דירה,כרם התימנים,הירקון 44,2.0,5,74,,0,12,500,600,9,"כ -74 מטר,בניין חדש מקסימה רואים ים.
קומה גבוהה
מרוהטת מלא.
איוכתית ויפה.
קרוב לנמל תל אביב
חניה פרטית,ומעלית.
כניסה מידית.",1,0,1,1,0,0,1,1,0,1,16500.0,0,1432.0
דירה,כרם התימנים,הכובשים 66,3.0,2,65,,0,12,500,200,4,"שכונה: כרם התימינים.

דירה של  3  חדרים,כ - 65  מטר.משופצת מקסימה ויפה.

סלון עם מטבח פתוח,פלוס פינת אוכל.

חדרים שינה עם מזגים.

מקלחת ושורתים ביחיד.

משופצת אוכתית,קרוב לים,ולכל נקודה בעיר.

כניסה מידית.",0,0,0,1,0,1,0,0,0,1,7200.0,0,1967.0
דירה,כרם התימנים,ישכון 43,2.0,2,40,15,0,12,150,300,4,"דירת 2 חדרים מרוהטת קומפלט מרחק נגיעה משוק הכרמל ומהים ! 
ישנה דירה אחת עם מרפסת ואחת בלי . 
אופציה גם לסאבלט של מעל לחודש !",0,0,1,1,0,0,1,1,1,1,8100.0,0,2164.0
דירה,כרם התימנים,רבי מאיר 4,1.0,1,25,,0,12,250,120,4,"ברחוב רבי מאיר, ליד שוק הכרמל

דירת סטודיו נעימה

מגיעה עם בסיס מיטה ומקרר

קומה 1 ללא מעלית

מלאה בחלונות, מאוד מוארת

יש מפתח, ניתן להציג כל הזמן

דורשים צילום תז לסגירה + 2 תלושי משכורת.

אין צורך בערבויות, פקדונות.

12 צ׳קים לשכירות בלבד

חוזה עיריית תל אביב , כניסה 1.5 מקסימום.

מחיר 3,400 כולל הכל מלבד חשמל. אין גמישות",0,0,0,1,0,1,0,0,0,1,3400.0,0,2211.0
דירה,כרם התימנים,הרב קוק 4,2.0,0,40,,0,12,400,250,4,"להשכרה !!  מחיר: 5500 ש""ח 
רחוב: הרב קוק
שכונה: כרם התימינים
ממש על הים !
דירה 2 חדרים כ-40 מ״ר
קומת קרקע שקטה ונעימה !
מתאימה ליחיד/זוג שאוהב …
דוד חשמלי
בעלי חיים : אפשרי
טווח ארוך
כולל חניה משותפת בבניין(לא פרטית)
כניסה מיידית",0,0,0,1,0,1,0,0,0,0,5500.0,0,1620.0
דירה,כרם התימנים,הירקון 7,1.0,0,40,,0,12,,50,4,"להשכרה !!  מחיר: 5000 ש""ח
רחוב: הירקון 
מרכז תל אביב
קו ראשון לים
דירת חדר
כניסה מיידית
דירת קרקע כניסה ניפרדת
חוזה ארוך
מתאימה ליחיד/זוג
ללא חניה",0,0,0,1,0,1,0,0,0,1,5000.0,0,1900.0
דירה,כרם התימנים,הירקון 5,2.0,2,48,,0,12,250,100,4,"רחוב: הירקון 
דירת 2 חדרים + מרפסת מפלצתית על הים ברחוב הירקון ליד מלון קמפינסקי.
הדירה נמצאת בקומה שניה עם מעלית
בבניין ישן ושמור
אפשר לקבל עם ריהוט מלא.
החוזה לטווח ארוך
כניסה מיידית",0,0,0,1,0,0,0,1,0,1,8000.0,0,1963.0
דירה,כפיר,"מח""ל 2",5.0,5,112,,0,12,500,750,9,"חדשה מקבלן  ,דירה של  5 חדרים,כ - 112 מטר,  יציאה למרפסת שמש של 12 מטר.
קומה 5
פונה לגיון דרום מערב נוף
פתוח
כניסה מיידית
חנייה,ומעלית.
דמי ניהול 750
ארנונה כ 500 בחודש",1,0,1,1,0,0,1,1,0,1,7500.0,4,5443.0
גג/פנטהאוז,כרם התימנים,אלנבי 8,2.0,3,55,,0,12,350,100,3,"2  חדרים,כ - 55  מטר, עם סלון מטבח פתוח.

יציאה למרפסת שמש של  30 מטר.

חדר שינה עם מזגן.

פרקטים בכל הדירה

מקלחת ושרותים,ביחיד.

בניין עם קודן,ואינטרקום.בניין ללא מעלית.

מתאימה לזוג \ יחיד.

כניסה מידית.",0,0,0,1,0,0,0,1,0,1,6000.0,5,1339.0
גג/פנטהאוז,כרם התימנים,כרם התימנים 8,2.0,3,50,60,,12,130,100,3,"מודעה מתיווך
להשכרה בכרם התימנים - דירת 2 חדרים 50 מ""ר + גג מטורף של 60 מ""ר.
כניסה ב21/9",0,0,0,0,0,0,0,1,0,0,7500.0,0,1733.0
דירה,כרם התימנים,נחמיה 8,4.0,2,100,,0,12,1500,450,8,"רחוב: נחמיה

אזור שכונה: כרם התימינים

 100 מטרים מהים והטיילת !  בפרויקט חדש "" וילה רומנו ""

דירת 4 חדרים חדשה ברמה גבוהה.

100 מ""ר בנוי + מרפסת שמש

ארונות קיר בחדרים

מטבח מפנק מאובזר

קומה שנייה

מושקעת ביותר

מעליות 2

חניה פרטית תת קרקעית

בניין חדש ואיכותי מאוד, יש בריכה ושומר לרשות דיירי הבניין.

הכניסה מיידית

לטווח ארוך בלבד",1,0,1,1,0,0,0,1,0,1,20000.0,0,2181.0
דירה,כפיר,הרב אלנקווה 5,1.0,0,35,,0,12,250,250,3,"יח' דיור של  חדר כ - 35  מטר מסודרת מוארת מקסימה ואיוכתית.

קומה קק.

(המחיר כולל הכל חוץ מחשמל) 

מרווחת מרוהטת מלא 

מיקום מעולה ברחוב.

כניסה: 1.7.2022",0,0,0,1,0,1,0,0,1,1,3600.0,0,5662.0
דירה,כרם התימנים,אלנבי  60,3.0,3,95,,0,12,500,63,4,"3  חדרים - כ - 95  מטר בניין שעברה שיפוץ כולל הדירה.

קומה 3 ללא מעלית.

חדרי שינה של פעם.

מרוהטת מלא איוכתית ומקסימה.

קומה 3 ללא מעלית,וחניה .

קרוב לשוק הכרמל,לנחלת בנימין.

כניסה מידית.",0,0,0,1,0,0,0,1,0,1,12000.0,0,1710.0
דירה,תל כביר,ארבר מנחם 12,3.0,9,70,,0,12,650,250,13,"מנחם ארבר - שכונה :תל כביר 
דירה של  3  חדרים,כ - 70 מטר עם יציאה למרפסת שמש של 10 מטר
שרותים ומקלחת
שרותים ומקלחת נוספים
מטבח משודרג , תנור , כריים גז, מדיח
תריסים חשמליים, חלונות כפולים
כיוון אויר - מזרח,מוארת,נוף פתוח.
חנייה , מחסן, מעלית
ועד -250
בניין חדש,עם קודן ואינטרקום.
כניסה 20.4 גמיש",1,1,1,1,0,0,1,1,0,1,7000.0,0,5992.0
דירה,כרם התימנים,הירקון 14,4.5,2,100,,0,12,600,150,4,"בפריים לוקיישן מול חוף הילטון
ברחוב קטן ושקט כניסה 1.4
דירה סופר שווה!!עם גג משותף של הבניין
מושלמת ל 3 שותפים !!!
דירת 4.5 חדרים מרווחת
קומה 2 ללא מעלית (קומה אחרונה)ליד הגג
הדירה נמצאת בקומה אחרונה יש גג משותף לבניין
כ85 מטר
תיאור הדירה - סלון +3 חדרי שינה
ישנו חדר שינה אחד עם שירותים ומקלחת צמודים
המטבח רחב ומרווח ובנפרד
שקטה ומוארת פונה לירוק
ריהוט קיים תנור וגז
בנוסף ישנו חצי חדר קטן לחדר עבודה
דירה בהחלט שווה במיקום נדיר !!
כניסה - 1.4",0,0,0,1,0,0,0,1,0,0,10500.0,0,1752.0
דירה,תל כביר,מנחם ארבר 14,3.0,5,70,,0,12,500,350,12,"שכונת: נווה עופר \ תל אביב

דירה של  3  חדרים,כ - 70 מטר בניין חדש עם יציאה למרפסת שמש של  10 מטר

בניין עם אינטרקום וקודן.

סלון עם מטבח פתוח,קירים,תנור.

חדר שינה עם מזגן.

נוף פתוח.

רחוב שקט.

חניה פרטית,ומעלית,מחסן.

כניסה מידית.",1,0,1,1,0,0,1,1,0,1,6500.0,0,6021.0
דירה,כרם התימנים,רציף הרברט סמואל 42,3.0,11,90,,,12,1000,2000,13,"בבניין מפואר - קו ראשון לים ⛱🆕
3 חדרים מדהימה וגדולה כ 90 מ""ר
מרוהטת קומפלט
קומה גבוהה + נוף מרהיב לים
חניה.🚕
בבניין לובי, שמירה 24/7, בריכת שחיה, חדר כושר, סאונות..",1,0,1,1,1,0,1,0,1,1,15000.0,0,2005.0
דירה,תל כביר,ארבר מנחם 13,2.5,11,70,,0,12,450,350,13,"דירה של  2.5  חדרים,כ - 60  מטר בניין חדש עם יציאה למרפסת שמש של 10 מטר
בניין עם אינטרקום וקודן.
סלון עם מטבח פתוח,קירים,תנור.
חדר שינה עם מזגן.
נוף פתוח.
רחוב שקט.
חניה פרטית,ומעלית.
כניסה מידית.",1,0,1,1,0,0,0,1,0,1,6000.0,0,6003.0
דירה,תל כביר,ארבר מנחם 14,3.0,9,70,,0,12,650,400,13,"דירה של  3  חדרים,כ - 70 מטר בניין חדש עם יציאה למרפסת שמש של  10 מטר
בניין עם אינטרקום וקודן.
סלון עם מטבח פתוח,קירים,תנור.
חדר שינה עם מזגן.
נוף פתוח.
רחוב שקט.
חניה פרטית,ומעלית,מחסן.
כניסה מידית.",1,0,1,1,0,0,0,1,0,1,6500.0,0,6021.0
דירה,כרם התימנים,אלנבי 22,3.5,3,68,,0,12,450,300,6,"מרכז תל אביב

דירה של  3  חדרים, בניין חדש בפריים לוקיישן ליד הים,ומגדל האופרה.

כ - 68  מטר.

מרוהטת קומפלט.

מרפסת שמש רואים ים.

קומה 3 מעלית,חניה פרטית.

בניין עם קודן ואינטרקום.

כניסה מידית.",1,0,1,1,0,0,0,1,0,1,13000.0,0,1229.0
גג/פנטהאוז להשכרה,כרם התימנים,בית יוסף,3.0,2,55,,0,12,,,2,"דירת 3 חד' כ-55 מר' ּמשופצת + גג ענק ומפנק של 40 מר' בקרבת הים והשוק דוד שמש,מזגנים בכל החדרים,שירותים ומקלחת חדשים סידור למכונת כביסה ומייבש פצצה לזוג!!אופציה גם לשותפים חדר אחד יותר קטן.",0,0,0,1,0,0,0,1,0,1,8200.0,0,1800.0
דירה להשכרה,כרם התימנים,,3.0,2,90,,0,12,,,3,במרחק נגיעה מהים ליד הבננה ביץ  2 דירות יוקרה משופצות ארכיטקטוני בסטנדרט הכי גבוה שיש 2 חדרי שינה מאסטר+סלון מפנק+מרפסת שמש.לאוהבי החיים הטובים.לגור בסטייל על הים.לטווח ארוך בלבד!!!,0,0,1,1,0,0,1,1,1,1,3600.0,0,2325.0
